id,currency_id,tag_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,2,5
31,2,6
32,2,7
33,2,8
34,2,9
35,2,10
36,2,11
37,2,12
38,2,13
39,2,14
40,2,15
41,2,16
42,2,18
43,2,19
44,2,20
45,2,21
46,2,22
47,2,23
48,2,24
49,2,25
50,2,26
51,2,27
52,2,30
53,2,31
54,2,32
55,2,33
56,2,34
57,2,35
58,2,36
59,3,36
60,3,37
61,3,38
62,3,39
63,3,40
64,3,41
65,3,42
66,3,43
67,3,44
68,3,45
69,3,46
70,4,19
71,4,26
72,4,31
73,4,34
74,4,40
75,4,45
76,4,47
77,4,48
78,4,49
79,4,50
80,4,51
81,5,17
82,5,20
83,5,25
84,5,52
85,5,53
86,5,54
87,6,37
88,6,38
89,6,39
90,6,43
91,6,44
92,6,45
93,6,46
94,6,53
95,6,55
96,6,56
97,7,30
98,7,31
99,7,34
100,7,48
101,7,49
102,7,57
103,7,58
104,7,59
105,7,60
106,7,61
107,7,62
108,8,1
109,8,28
110,8,40
111,8,45
112,8,53
113,8,63
114,8,64
115,8,65
116,9,11
117,9,19
118,9,26
119,9,30
120,9,33
121,9,34
122,9,42
123,9,48
124,9,49
125,9,58
126,9,66
127,9,67
128,10,40
129,10,48
130,10,49
131,10,68
132,10,69
133,10,70
134,11,6
135,11,7
136,11,9
137,11,10
138,11,11
139,11,15
140,11,21
141,11,24
142,11,25
143,11,32
144,11,33
145,11,34
146,11,36
147,11,45
148,11,52
149,11,71
150,11,72
151,11,73
152,11,74
153,11,75
154,11,76
155,11,77
156,11,78
157,11,79
158,12,35
159,12,37
160,12,38
161,12,39
162,12,41
163,12,43
164,12,44
165,12,45
166,12,46
